Epoch,Gradients,Loss
1,[-0.08692098],0.8167444467544556
2,[-0.08684205],0.8160250782966614
3,[-0.08676269],0.8153085112571716
4,[-0.08668293],0.814595103263855
5,[-0.08660274],0.8138845562934875
6,[-0.08652215],0.8131770491600037
7,[-0.08644117],0.8124724626541138
8,[-0.08635976],0.8117706775665283
9,[-0.08627796],0.8110721111297607
10,[-0.08619576],0.8103762865066528
11,[-0.08611316],0.8096835613250732
12,[-0.08603016],0.8089935183525085
13,[-0.08594678],0.8083065748214722
14,[-0.08586302],0.8076223134994507
15,[-0.08577884],0.8069410920143127
16,[-0.0856943],0.8062627911567688
17,[-0.08560938],0.8055872917175293
18,[-0.08552405],0.8049147129058838
19,[-0.08543837],0.8042449355125427
20,[-0.08535232],0.8035780191421509
21,[-0.08526589],0.802914023399353
22,[-0.08517909],0.8022527098655701
23,[-0.08509193],0.8015943765640259
24,[-0.0850044],0.8009388446807861
25,[-0.0849165],0.8002861142158508
26,[-0.08482826],0.7996360659599304
27,[-0.08473966],0.798988938331604
28,[-0.0846507],0.7983445525169373
29,[-0.08456139],0.7977030873298645
30,[-0.08447172],0.7970641851425171
31,[-0.08438172],0.7964282035827637
32,[-0.08429138],0.7957949638366699
33,[-0.08420068],0.7951644062995911
34,[-0.08410966],0.7945365905761719
35,[-0.0840183],0.7939115166664124
36,[-0.0839266],0.7932891845703125
37,[-0.08383457],0.7926695346832275
38,[-0.08374222],0.792052686214447
39,[-0.08364955],0.7914385199546814
40,[-0.08355655],0.7908269762992859
41,[-0.08346323],0.7902180552482605
42,[-0.08336958],0.7896118760108948
43,[-0.08327565],0.7890083193778992
44,[-0.08318137],0.7884075045585632
45,[-0.08308681],0.7878093123435974
46,[-0.08299192],0.7872137427330017
47,[-0.08289675],0.7866207957267761
48,[-0.08280126],0.7860305309295654
49,[-0.08270548],0.7854429483413696
50,[-0.0826094],0.7848578691482544
51,[-0.08251304],0.7842753529548645
52,[-0.08241636],0.7836954593658447
53,[-0.08231942],0.7831181287765503
54,[-0.08222219],0.782543420791626
55,[-0.08212468],0.781971275806427
56,[-0.08202687],0.7814016938209534
57,[-0.0819288],0.7808345556259155
58,[-0.08183045],0.7802701592445374
59,[-0.08173183],0.7797081470489502
60,[-0.08163293],0.7791488170623779
61,[-0.08153377],0.7785917520523071
62,[-0.08143436],0.778037428855896
63,[-0.08133467],0.7774854898452759
64,[-0.08123472],0.7769360542297363
65,[-0.08113452],0.7763890624046326
66,[-0.08103406],0.7758446335792542
67,[-0.08093336],0.7753025889396667
68,[-0.08083241],0.7747631072998047
69,[-0.08073121],0.7742260098457336
70,[-0.08062975],0.7736914157867432
71,[-0.08052807],0.7731592059135437
72,[-0.08042615],0.7726293206214905
73,[-0.08032399],0.7721019983291626
74,[-0.08022159],0.7715770602226257
75,[-0.08011898],0.7710543870925903
76,[-0.08001614],0.7705342769622803
77,[-0.07991305],0.7700165510177612
78,[-0.07980976],0.7695010304450989
79,[-0.07970624],0.7689880132675171
80,[-0.07960251],0.7684773206710815
81,[-0.07949856],0.7679690718650818
82,[-0.0793944],0.767462968826294
83,[-0.07929002],0.7669593691825867
84,[-0.07918546],0.7664580345153809
85,[-0.07908068],0.7659591436386108
86,[-0.07897568],0.765462338924408
87,[-0.07887049],0.7649679780006409
88,[-0.07876511],0.7644758820533752
89,[-0.07865954],0.7639859914779663
90,[-0.07855377],0.7634984850883484
91,[-0.07844781],0.7630131244659424
92,[-0.07834166],0.7625301480293274
93,[-0.07823534],0.7620494365692139
94,[-0.07812881],0.7615708708763123
95,[-0.07802213],0.7610945105552673
96,[-0.07791526],0.7606205940246582
97,[-0.07780822],0.7601486444473267
98,[-0.077701],0.7596789598464966
99,[-0.07759362],0.7592114806175232
100,[-0.07748608],0.758746325969696
